#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	conn
#open	2026-07-24-01-00-16
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	proto	service	duration	orig_bytes	resp_bytes	conn_state	local_orig	local_resp	missed_bytes	history	orig_pkts	orig_ip_bytes	resp_pkts	resp_ip_bytes	tunnel_parents	ip_proto
#types	time	string	addr	port	addr	port	enum	string	interval	count	count	string	bool	bool	count	string	count	count	count	count	set[string]	count
1784835490.506748	CTKkgi2BwioVHTvlVh	192.168.100.1	49817	192.168.100.100	443	tcp	-	0.028673	1737	1481	SF	T	T	3188	ShACaGcgDFf	6	282	3	132	-	6
1784835490.524687	CkXZeM1bAbBzvkdQZh	192.168.100.1	58269	192.168.100.100	443	tcp	-	0.057409	1737	1481	SF	T	T	3188	ShACaGcgDFf	6	282	3	132	-	6
1784835495.710535	CguzDleG72WpJ8Ny4	192.168.100.1	5353	224.0.0.251	5353	udp	dns	0.998730	86	0	S0	T	T	0	D	2	142	0	0	-	17
1784835495.711566	Crp9kY1vhvHvfZKSQi	fe80::6f7a:904c:262b:4415	5353	ff02::fb	5353	udp	dns	0.998409	86	0	S0	T	F	0	D	2	182	0	0	-	17
1784835557.684027	CtmrUb3vDOFdfd0hkj	192.168.100.1	5353	224.0.0.251	5353	udp	dns	0.760197	810	0	S0	T	T	0	D	6	978	0	0	-	17
1784835557.684914	Cn4FQs2Fq5qahoLNib	fe80::6f7a:904c:262b:4415	5353	ff02::fb	5353	udp	dns	0.759691	810	0	S0	T	F	0	D	6	1098	0	0	-	17
1784835588.589586	CupWON2D29EPm3vXxk	192.168.100.20	33842	192.168.100.30	5000	tcp	http	0.006500	83	570	SF	T	T	0	ShADadFf	7	455	5	838	-	6
1784835588.625128	Cy6Xyo4tlSDch6Jcha	192.168.100.20	42322	192.168.100.50	445	tcp	gssapi,ntlm,smb	0.034516	2056	1821	SF	T	T	0	ShADadFf	18	3000	16	2661	-	6
1784835588.732280	CvKZmf3iL2IEVuXSMk	192.168.100.21	44264	192.168.100.30	5000	tcp	http	0.005245	83	570	SF	T	T	0	ShADadFf	7	455	5	838	-	6
1784835588.770215	CaLsQp2lvg6KOOc4b7	192.168.100.21	41704	192.168.100.50	445	tcp	gssapi,ntlm,smb	0.039775	46966	1821	SF	T	T	45066	ShADadCGFf	19	27512	21	2921	-	6
